Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,116,1,1,2,6
AUS,Australia,10,121,1,1,3,5
BGD,Bangladesh,10,96,1,0,2,6
BOL,Bolivia,3,22,0,0,0,3
BRA,Brazil,10,155,1,2,4,3
CAN,Canada,10,194,1,2,4,3
COL,Colombia,10,58,0,0,2,3
CRI,Costa Rica,10,55,0,0,0,6
ECU,Ecuador,10,20,0,1,0,0
SLV,El Salvador,6,38,0,0,0,5
HKG,Hong Kong,10,163,1,2,4,3
IDN,Indonesia,10,116,1,1,2,5
IRN,Islamic Republic of Iran,10,188,1,2,4,2
JPN,Japan,10,182,1,2,4,3
KAZ,Kazakhstan,10,149,0,3,4,3
KGZ,Kyrgyzstan,10,34,0,0,1,3
MKD,Macedonia,10,63,0,1,2,2
MYS,Malaysia,10,123,1,2,3,4
MEX,Mexico,10,153,1,2,4,2
MAR,Morocco,10,60,0,0,1,1
NZL,New Zealand,10,72,0,0,0,7
NIC,Nicaragua,10,50,0,0,1,4
PAN,Panama,7,24,0,0,0,1
PER,Peru,10,161,1,2,4,2
PHL,Philippines,10,119,0,1,6,3
KOR,Republic of Korea,10,243,1,2,4,3
RUS,Russia,10,153,1,2,4,3
SAU,Saudi Arabia,10,92,0,0,3,6
SGP,Singapore,10,153,1,2,4,3
LKA,Sri Lanka,5,16,0,0,0,2
SYR,Syria,10,56,0,0,2,1
TWN,Taiwan,10,177,1,2,4,3
TJK,Tajikistan,10,118,1,0,5,4
THA,Thailand,10,175,1,2,4,3
TKM,Turkmenistan,10,72,0,0,0,10
USA,United States of America,10,281,1,2,4,3
URY,Uruguay,3,12,0,0,1,0
